,Topic_1
Term_12706,challenges information resources
Term_12707,challenges measurement
Term_12708,challenges measurement scientific
Term_12709,challenges modeling
Term_12710,challenges modeling bibliographic
Term_12711,challenges output
Term_12712,challenges output measurement
Term_12713,challenges processes
Term_12714,challenges processes principles
Term_12715,challenges scaling
Term_12716,challenges scaling knowledge
Term_12717,challenges study
Term_12718,challenges study cuban
Term_12719,chambers
Term_12720,chambers miller
Term_12721,champion
Term_12722,champion works
Term_12723,champion works china
Term_12724,chance
Term_12725,chance analysis
Term_12726,chance analysis brannigan
Term_12727,chance citedness
Term_12728,chance citedness model
Term_12729,chance discovery
Term_12730,chance discovery exploring
Term_12731,chance highly
Term_12732,chance highly cited
Term_12733,change
Term_12734,change 1983
Term_12735,change 1983 2003
Term_12736,change adoption
Term_12737,change adoption digital
Term_12738,change case
Term_12739,change case little
Term_12740,change citation
Term_12741,change citation collaboration
Term_12742,change dynamics
Term_12743,change dynamics science
Term_12744,change emerging
Term_12745,change emerging nanotechnological
Term_12746,change hospital
Term_12747,change hospital physicians
Term_12748,change implications
Term_12749,change implications field
Term_12750,change interdisciplinarity
Term_12751,change interdisciplinarity citation
Term_12752,change international
Term_12753,change international scientific
Term_12754,change literary
Term_12755,change literary authors
Term_12756,change lithium
Term_12757,change lithium iron
Term_12758,change long
Term_12759,change long periods
Term_12760,change management
Term_12761,change management information
Term_12762,change networks
Term_12763,change particle
Term_12764,change particle physics
Term_12765,change patent
Term_12766,change patent analysis
Term_12767,change patterns
Term_12768,change patterns collaboration
Term_12769,change persistence
Term_12770,change persistence year
Term_12771,change research
Term_12772,change research germany
Term_12773,change scientific
Term_12774,change scientific research
Term_12775,change simulation
Term_12776,change simulation peer
Term_12777,change think
Term_12778,change transition
Term_12779,change transition static
Term_12780,change universities
Term_12781,change word
Term_12782,change word analysis
Term_12783,changes
Term_12784,changes chance
Term_12785,changes chance citedness
Term_12786,changes counting
Term_12787,changes counting inflation
Term_12788,changes dynamic
Term_12789,changes dynamic world
Term_12790,changes funding
Term_12791,changes funding structure
Term_12792,changes impact
Term_12793,changes impact factors
Term_12794,changes indexing
Term_12795,changes indexing citation
Term_12796,changes information
Term_12797,changes information science
Term_12798,changes interdisciplinary
Term_12799,changes interdisciplinary developments
Term_12800,changes knowledge
Term_12801,changes knowledge base
Term_12802,changes lis
Term_12803,changes lis research
Term_12804,changes publication
Term_12805,changes publication languages
Term_12806,changes publication patterns
Term_12807,changes publishing
Term_12808,changes publishing behavior
Term_12809,changes relative
Term_12810,changes relative specialization
Term_12811,changes research
Term_12812,changes research doctorate
Term_12813,changes research india
Term_12814,changes research priorities
Term_12815,changes research stream
Term_12816,changes scientific
Term_12817,changes scientific communities
Term_12818,changes scientific knowledge
Term_12819,changes scientific output
Term_12820,changes structure
Term_12821,changes structure cocitation
Term_12822,changes time
Term_12823,changes time case
Term_12824,changes time distribution
Term_12825,changes transmuting
Term_12826,changes transmuting multisession
Term_12827,changing
Term_12828,changing array
Term_12829,changing array sources
Term_12830,changing breakthroughs
Term_12831,changing breakthroughs science
Term_12832,changing dynamics
Term_12833,changing dynamics citation
Term_12834,changing europe
Term_12835,changing europe 1983
Term_12836,changing face
Term_12837,changing face scientific
Term_12838,changing guard
Term_12839,changing knowledge
Term_12840,changing knowledge bases
Term_12841,changing landscape
Term_12842,changing nature
Term_12843,changing nature information
Term_12844,changing pace
Term_12845,changing pace search
Term_12846,changing profile
Term_12847,changing profile jasist
Term_12848,changing publication
Term_12849,changing publication citation
Term_12850,changing publication patterns
Term_12851,changing quality
Term_12852,changing quality value
Term_12853,changing role
Term_12854,changing role corporate
Term_12855,changing role librarian
Term_12856,changing rules
Term_12857,changing rules game
Term_12858,changing trends
Term_12859,changing trends publishing
Term_12860,changing use
Term_12861,changing use patterns
Term_12862,changing world
Term_12863,changing world international
Term_12864,channels
Term_12865,channels international
Term_12866,channels international circuit
Term_12867,channels older
Term_12868,channels older adults
Term_12869,channels snip
Term_12870,channels snip sjr
Term_12871,chaos
Term_12872,chaos bibliometric
Term_12873,chaos bibliometric terminology
Term_12874,chaos poetics
Term_12875,chaos poetics pragmatics
Term_12876,chapter
Term_12877,chapter asist
Term_12878,chapter asist 1961
Term_12879,chapters
Term_12880,chapters book
Term_12881,chapters book citation
Term_12882,chapters social
Term_12883,chapters social sciences
Term_12884,character
Term_12885,character citations
Term_12886,character citations historiography
Term_12887,character ontologies
Term_12888,character ontologies domain
Term_12889,character set
Term_12890,character words
Term_12891,character words chinese
Term_12892,characterisation
Term_12893,characterisation esi
Term_12894,characterisation esi rankings
Term_12895,characterisation technological
Term_12896,characterisation technological topics
Term_12897,characterised
Term_12898,characterised bradford
Term_12899,characterised bradford curves
Term_12900,characteristic
Term_12901,characteristic citation
Term_12902,characteristic citation scores
Term_12903,characteristic scores
Term_12904,characteristic scores scales
Term_12905,characteristics
Term_12906,characteristics 108
Term_12907,characteristics 108 author
Term_12908,characteristics academic
Term_12909,characteristics academic discipline
Term_12910,characteristics auctioned
Term_12911,characteristics auctioned non
Term_12912,characteristics author
Term_12913,characteristics author network
Term_12914,characteristics author productivity
Term_12915,characteristics authorship
Term_12916,characteristics based
Term_12917,characteristics based long
Term_12918,characteristics bibliometric
Term_12919,characteristics bibliometric articles
Term_12920,characteristics books
Term_12921,characteristics books edited
Term_12922,characteristics bradford
Term_12923,characteristics bradford distribution
Term_12924,characteristics case
Term_12925,characteristics case japanese
Term_12926,characteristics champion
Term_12927,characteristics champion works
Term_12928,characteristics collaboration
Term_12929,characteristics collaboration analysis
Term_12930,characteristics contributions
Term_12931,characteristics contributions turkish
Term_12932,characteristics determinants
Term_12933,characteristics determinants eminent
Term_12934,characteristics digital
Term_12935,characteristics digital possessions
Term_12936,characteristics english
Term_12937,characteristics english language
Term_12938,characteristics examiner
Term_12939,characteristics examiner applicant
Term_12940,characteristics features
Term_12941,characteristics features effectively
Term_12942,characteristics future
Term_12943,characteristics future possibilities
Term_12944,characteristics gender
Term_12945,characteristics gender studies
Term_12946,characteristics growth
Term_12947,characteristics growth informetrics
Term_12948,characteristics highly
Term_12949,characteristics highly cited
Term_12950,characteristics impact
Term_12951,characteristics impact grant
Term_12952,characteristics impact individual
Term_12953,characteristics impact matthew
Term_12954,characteristics impact research
Term_12955,characteristics information
Term_12956,characteristics information activities
Term_12957,characteristics information field
Term_12958,characteristics information use
Term_12959,characteristics international
Term_12960,characteristics international collaboration
Term_12961,characteristics international scientific
Term_12962,characteristics ir
Term_12963,characteristics ir functions
Term_12964,characteristics journal
Term_12965,characteristics journal impact
Term_12966,characteristics journal science
Term_12967,characteristics keyword
Term_12968,characteristics keyword networks
Term_12969,characteristics korean
Term_12970,characteristics korean personal
Term_12971,characteristics large
Term_12972,characteristics large scale
Term_12973,characteristics library
Term_12974,characteristics library information
Term_12975,characteristics link
Term_12976,characteristics link structure
Term_12977,characteristics litigated
Term_12978,characteristics litigated non
Term_12979,characteristics mental
Term_12980,characteristics mental models
Term_12981,characteristics motivations
Term_12982,characteristics motivations health
Term_12983,characteristics number
Term_12984,characteristics number citations
Term_12985,characteristics publishing
Term_12986,characteristics publishing infrastructure
Term_12987,characteristics research
Term_12988,characteristics research bioinformatics
Term_12989,characteristics research china
Term_12990,characteristics research collaboration
Term_12991,characteristics research output
Term_12992,characteristics research performance
Term_12993,characteristics research productivity
Term_12994,characteristics retracted
Term_12995,characteristics retracted open
